Step,Susceptible,Exposed,Infected,Recovered,Dead,Asymptomatic,Vaccinated,ActiveCases,NewInfections,Rt,HouseholdInfections,CommunityInfections,HomeInfections,SchoolInfections,WorkInfections,OtherInfections,MaskProtectedContacts,QuarantinedAgents,DetectedInfected,UndetectedInfected,LockdownActive,LockdownStartStep,SchoolClosedActive,MaskComplianceActive,TestingRateActive,QuarantineComplianceActive,WorkClosedActive,SeniorMobilityActive,ChildMobilityActive,VaccinationCampaignActive,NewVaccinations
0,3079,1,18,0,0,0,1902,19,1,0.05555555555555555,0,1,1,0,0,0,16,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
1,3079,1,18,0,0,0,1902,19,0,0.0,0,0,0,0,0,0,70,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
2,3079,1,18,0,0,0,1902,19,0,0.0,0,0,0,0,0,0,67,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
3,3079,1,18,0,0,0,1902,19,0,0.0,0,0,0,0,0,0,86,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
4,3079,1,18,0,0,0,1902,19,0,0.0,0,0,0,0,0,0,91,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
5,3078,2,18,0,0,0,1902,20,1,0.05555555555555555,0,1,0,1,0,0,96,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
6,3078,2,18,0,0,0,1902,20,0,0.0,0,0,0,0,0,0,49,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
7,3078,2,18,0,0,0,1902,20,0,0.0,0,0,0,0,0,0,95,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
8,3077,4,18,0,0,0,1901,22,2,0.1111111111111111,0,2,0,1,1,0,113,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
9,3077,4,18,0,0,0,1901,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
10,3077,4,18,0,0,0,1901,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
11,3077,4,18,0,0,0,1901,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
12,3077,4,18,0,0,0,1901,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
13,3077,4,18,0,0,0,1901,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
14,3077,4,18,0,0,0,1901,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
15,3077,4,18,0,0,0,1901,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
16,3077,4,18,0,0,0,1901,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
17,3077,4,18,0,0,0,1901,22,0,0.0,0,0,0,0,0,0,0,0,0,18,0,-1,0,0.15,0.15,0.3,0,0.65,1.0,0,0
